epoch 339/400,training accuracy:0.652466,validation accuracy:0.648740
epoch 340/400,training accuracy:0.652681,validation accuracy:0.649024
epoch 341/400,training accuracy:0.652631,validation accuracy:0.649392
epoch 342/400,training accuracy:0.652950,validation accuracy:0.648562
epoch 343/400,training accuracy:0.652949,validation accuracy:0.648391
epoch 344/400,training accuracy:0.652589,validation accuracy:0.648562
epoch 345/400,training accuracy:0.652842,validation accuracy:0.648890
epoch 346/400,training accuracy:0.653058,validation accuracy:0.648743
epoch 347/400,training accuracy:0.653043,validation accuracy:0.649311
epoch 348/400,training accuracy:0.653160,validation accuracy:0.648863
epoch 349/400,training accuracy:0.653014,validation accuracy:0.649374
epoch 350/400,training accuracy:0.653063,validation accuracy:0.648142
epoch 351/400,training accuracy:0.653072,validation accuracy:0.648630
epoch 352/400,training accuracy:0.653242,validation accuracy:0.649045
epoch 353/400,training accuracy:0.653100,validation accuracy:0.648700
epoch 354/400,training accuracy:0.653172,validation accuracy:0.649079
epoch 355/400,training accuracy:0.653261,validation accuracy:0.648906
epoch 356/400,training accuracy:0.653304,validation accuracy:0.648511
epoch 357/400,training accuracy:0.653499,validation accuracy:0.649200
epoch 358/400,training accuracy:0.653418,validation accuracy:0.648792
epoch 359/400,training accuracy:0.653400,validation accuracy:0.648902
epoch 360/400,training accuracy:0.653456,validation accuracy:0.648907
epoch 361/400,training accuracy:0.653478,validation accuracy:0.648776
epoch 362/400,training accuracy:0.653637,validation accuracy:0.648447
epoch 363/400,training accuracy:0.653450,validation accuracy:0.648822
epoch 364/400,training accuracy:0.653444,validation accuracy:0.648885
epoch 365/400,training accuracy:0.653447,validation accuracy:0.648785
epoch 366/400,training accuracy:0.653559,validation accuracy:0.649116
epoch 367/400,training accuracy:0.653620,validation accuracy:0.648705
epoch 368/400,training accuracy:0.653657,validation accuracy:0.649305
epoch 369/400,training accuracy:0.653690,validation accuracy:0.648525
epoch 370/400,training accuracy:0.653399,validation accuracy:0.649058
epoch 371/400,training accuracy:0.653913,validation accuracy:0.648829
epoch 372/400,training accuracy:0.653669,validation accuracy:0.649397
epoch 373/400,training accuracy:0.653603,validation accuracy:0.649216
epoch 374/400,training accuracy:0.653781,validation accuracy:0.649338
epoch 375/400,training accuracy:0.653981,validation accuracy:0.649456
epoch 376/400,training accuracy:0.653789,validation accuracy:0.649216
epoch 377/400,training accuracy:0.653907,validation accuracy:0.649175
epoch 378/400,training accuracy:0.653930,validation accuracy:0.649051
epoch 379/400,training accuracy:0.653865,validation accuracy:0.649321
epoch 380/400,training accuracy:0.653689,validation accuracy:0.649586
epoch 381/400,training accuracy:0.654121,validation accuracy:0.649374
epoch 382/400,training accuracy:0.653835,validation accuracy:0.649166
epoch 383/400,training accuracy:0.654215,validation accuracy:0.649863
epoch 384/400,training accuracy:0.654230,validation accuracy:0.649166
epoch 385/400,training accuracy:0.654259,validation accuracy:0.649163
epoch 386/400,training accuracy:0.654200,validation accuracy:0.649058
epoch 387/400,training accuracy:0.654081,validation accuracy:0.648981
epoch 388/400,training accuracy:0.654072,validation accuracy:0.649390
epoch 389/400,training accuracy:0.654121,validation accuracy:0.649173
epoch 390/400,training accuracy:0.654155,validation accuracy:0.649201
epoch 391/400,training accuracy:0.654041,validation accuracy:0.649826
epoch 392/400,training accuracy:0.654625,validation accuracy:0.649041
epoch 393/400,training accuracy:0.654498,validation accuracy:0.648929
epoch 394/400,training accuracy:0.654320,validation accuracy:0.649081
epoch 395/400,training accuracy:0.654244,validation accuracy:0.649709
epoch 396/400,training accuracy:0.654701,validation accuracy:0.649011
epoch 397/400,training accuracy:0.654809,validation accuracy:0.650053
epoch 398/400,training accuracy:0.654469,validation accuracy:0.649264
epoch 399/400,training accuracy:0.654715,validation accuracy:0.649733
Finished. Saving the model to /h/u8/c8/01/lyumengx/csc2515/CSC2515Dota2DraftPredictionProject/algorithms/shawn/fc_4.batch.pth
The best validation accuracy occurs at 399th epoch
